code,Latitude,Longitude,src
AULIV,-19.94242,-44.14267,MAPBOX
AULKD,56.01791,-3.74431,MAPBOX
AULKU,23.62248,84.26060,MAPBOX
AULLG,44.20815,9.97040,MAPBOX
AULLL,44.20815,9.97040,MAPBOX
AULLP,44.20815,9.97040,MAPBOX
AULME,53.46728,-2.24958,MAPBOX
AULNH,38.27559,-97.07701,MAPBOX
AULNO,50.33107,3.53020,MAPBOX
AULOA,21.37455,-157.77225,MAPBOX
AULOC,45.87071,-64.28108,MAPBOX
AULRE,63.26825,8.53070,MAPBOX
AULST,47.34195,9.19199,MAPBOX
AULSY,49.16020,-122.84838,MAPBOX
AULTB,57.83981,-5.58475,MAPBOX
AULTP,40.58248,-104.73155,MAPBOX
AULTV,57.04134,-5.70542,MAPBOX
AULUC,54.80284,9.55907,MAPBOX
AULUT,56.26592,8.79745,MAPBOX
AULUU,56.26592,8.79745,MAPBOX
AULVO,-6.10217,149.47496,MAPBOX
AULWH,30.64930,74.91425,MAPBOX
AULYT,40.58248,-104.73155,MAPBOX
AULZR,-22.94514,-43.67675,MAPBOX
AUMBH,24.53091,85.83459,MAPBOX
AUMBN,41.03089,-81.43101,MAPBOX
AUMCY,48.55364,1.11873,MAPBOX
AUMDA,62.20003,10.88283,MAPBOX
AUMEB,43.46643,3.46357,MAPBOX
AUMET,49.41676,5.94042,MAPBOX
AUMFL,53.52914,10.31461,MAPBOX
AUMGT,42.03272,2.88582,MAPBOX
AUMHO,-5.76252,148.43465,MAPBOX
AUMHU,-7.53883,145.16501,MAPBOX
AUMIB,2.19073,32.98490,MAPBOX
AUMIH,2.19073,32.98490,MAPBOX
AUMIL,47.94421,11.28517,MAPBOX
AUMIM,2.19073,32.98490,MAPBOX
AUMIN,46.89544,6.77578,MAPBOX
AUMIY,2.19073,32.98490,MAPBOX
AUMIZ,2.19073,32.98490,MAPBOX
